,Restaurant,Location,City,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time
1325,ID_4728,"Sector 14, Noida",Noida,"North Indian, Mughlai, Biryani, Rolls, Momos",250,99,4.8,650,423,45
1326,ID_1860,"FTI College, Law College Road, Pune",Pune,"Cafe, Continental, Italian, Beverages",250,50,3.9,385,191,45
1327,ID_2510,"FTI College, Law College Road, Pune",Pune,"Fast Food, Rolls",100,50,NEW,-,-,30
1328,ID_7923,Delhi University-GTB Nagar,Delhi,North Indian,100,50,3.3,10,7,30
1329,ID_266,"Chatta Bazaar, Malakpet, Hyderabad",Hyderabad,"Mughlai, North Indian",150,99,3.7,111,9,45
1330,ID_2110,"MG Road, Pune",Pune,"North Indian, Fast Food",100,50,Opening Soon,-,-,30
1331,ID_8605,Delhi University-GTB Nagar,Delhi,"North Indian, Mughlai",200,50,-,-,-,30
1332,ID_782,"Sector 14, Noida",Noida,North Indian,200,50,3.4,16,3,30
1333,ID_7440,Mumbai Central,Mumbai,Mithai,200,50,4.0,152,88,30
1334,ID_7797,"FTI College, Law College Road, Pune",Pune,Street Food,50,50,3.7,27,7,30
1335,ID_143,"FTI College, Law College Road, Pune",Pune,Fast Food,100,50,-,-,-,45
1336,ID_8107,"D-Block, Sector 63, Noida",Noida,"Fast Food, Chinese",200,50,3.6,31,7,30
1337,ID_3431,"Sector 1, Noida",Noida,Desserts,100,50,3.6,12,11,30
1338,ID_7742,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"Fast Food, Beverages",150,50,3.5,17,11,30
1339,ID_1556,"Delhi High Court, India Gate",Delhi,"North Indian, Street Food",100,50,-,-,-,30
1340,ID_6694,Delhi Cantt.,Delhi,"North Indian, Chinese, Mughlai",200,50,3.8,619,137,45
1341,ID_3002,"Noorkhan Bazaar, Malakpet, Hyderabad",Hyderabad,South Indian,100,50,3.7,149,21,30
1342,ID_7879,"Yerawada, Pune, Maharashtra",Pune,"Kashmiri, North Indian, Mughlai, Seafood",450,0,4.0,829,432,65
1343,ID_5347,"Sector 1, Noida",Noida,"Desserts, Juices",200,50,4.1,716,539,30
1344,ID_7200,Majestic,Bangalore,"South Indian, North Indian",200,50,3.8,266,90,30
1345,ID_5242,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Biryani, Chinese, North Indian",250,99,2.5,51,27,65
1346,ID_6349,Delhi Cantt.,Delhi,"Chinese, Fast Food",100,50,3.2,58,27,30
1347,ID_5886,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"North Indian, Chinese",350,50,3.8,154,67,45
1348,ID_1709,"Sector 63A,Gurgaon",Gurgaon,Chinese,200,50,3.8,70,64,30
1349,ID_1119,Pune University,Pune,"Fast Food, Burger, Beverages",100,50,NEW,-,-,30
1350,ID_3667,"D-Block, Sector 63, Noida",Noida,Chinese,200,50,NEW,-,-,30
1351,ID_5205,"Sector 14, Noida",Noida,"North Indian, Biryani",200,50,3.1,15,4,30
1352,ID_7856,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Beverages, Fast Food",200,50,4.0,58,32,30
1353,ID_3639,Delhi Cantt.,Delhi,Pizza,100,50,3.3,9,5,30
1354,ID_7544,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Desserts, Beverages, Ice Cream",150,50,4.0,74,25,30
1355,ID_2116,Delhi University-GTB Nagar,Delhi,"North Indian, Chinese",300,50,3.4,13,4,65
1356,ID_6013,"Tiretti, Kolkata",Kolkata,"Cafe, Spanish, Italian, Mexican, Salad, Juices",250,50,4.1,1307,794,45
1357,ID_6092,Delhi Cantt.,Delhi,"Chinese, Momos",100,50,3.3,8,5,30
1358,ID_148,"Tiretti, Kolkata",Kolkata,"Street Food, Mithai",50,99,-,-,-,30
1359,ID_6914,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Continental, Chinese, Thai, Italian, BBQ, Steak",450,50,4.0,1444,675,45
1360,ID_1687,"Yerawada, Pune, Maharashtra",Pune,"Chinese, Asian, South Indian",350,50,3.7,28,23,45
1361,ID_7892,"Tejas Nagar Colony, Wadala West, Mumbai",Mumbai,"Desserts, Beverages",150,50,3.3,20,14,30
1362,ID_482,Mumbai Central,Mumbai,South Indian,150,50,NEW,-,-,30
1363,ID_1332,"D-Block, Sector 63, Noida",Noida,Bakery,200,50,3.0,14,1,45
1364,ID_4214,Delhi University-GTB Nagar,Delhi,"Pizza, Italian, Beverages",300,50,4.0,109,78,30
1365,ID_2857,"Sector 14, Noida",Noida,"North Indian, Chinese",750,50,4.2,424,278,30
1366,ID_6107,Mumbai Central,Mumbai,"Italian, Lebanese, North Indian",150,50,3.2,15,7,30
1367,ID_2370,Majestic,Bangalore,Street Food,50,50,3.7,39,8,30
1368,ID_2850,"Sector 3, Marathalli",Bangalore,"South Indian, Chinese",100,50,3.5,26,12,30
1369,ID_6930,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Fast Food, Pizza, Chinese",100,50,-,-,-,30
1370,ID_4234,"Sector 14, Noida",Noida,"North Indian, Chinese",200,50,2.7,134,43,65
1371,ID_4332,"Sandhurst Road, Mumbai CST Area",Mumbai,"North Indian, South Indian, Chinese",200,50,3.8,431,108,30
1372,ID_7513,"Sector 63A,Gurgaon",Gurgaon,"North Indian, Rolls",250,99,3.9,250,89,65
1373,ID_420,"D-Block, Sector 63, Noida",Noida,South Indian,100,50,3.1,5,-,30
1374,ID_4378,"Sector 1, Noida",Noida,Chinese,150,50,3.3,17,6,30
1375,ID_3060,"Delhi High Court, India Gate",Delhi,"North Indian, Chinese",200,50,NEW,-,-,30
1376,ID_6660,Mumbai Central,Mumbai,"Seafood, Rolls, BBQ",200,50,3.4,27,9,45
1377,ID_4011,"Sector 1, Noida",Noida,"Street Food, Beverages",150,50,NEW,-,-,30
1378,ID_1836,Delhi University-GTB Nagar,Delhi,"Bakery, Cafe, Fast Food",400,50,4.2,221,126,30
1379,ID_8622,Delhi University-GTB Nagar,Delhi,Mughlai,150,50,3.6,52,8,30
1380,ID_5028,"D-Block, Sector 63, Noida",Noida,South Indian,250,50,4.1,1094,574,45
1381,ID_7184,"Delhi Administration Flats, Timarpur",Delhi,"Wraps, Healthy Food, Sandwich, Salad",150,50,4.1,937,278,45
1382,ID_8097,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"North Indian, Street Food",100,50,3.5,19,7,30
1383,ID_449,"D-Block, Sector 63, Noida",Noida,"North Indian, Chinese, Fast Food",200,50,3.6,27,19,30
1384,ID_7413,"Sector 1, Noida",Noida,North Indian,200,50,3.7,186,78,45
1385,ID_160,"Sector 3, Marathalli",Bangalore,"Bengali, North Indian, Chinese",100,50,3.4,13,8,30
1386,ID_7919,"FTI College, Law College Road, Pune",Pune,Healthy Food,200,50,-,-,-,30
1387,ID_7867,"FTI College, Law College Road, Pune",Pune,Momos,100,50,4.4,443,177,30
1388,ID_3729,"D-Block, Sector 63, Noida",Noida,"Chinese, Mughlai, North Indian",350,99,3.3,35,18,65
1389,ID_6767,"Dockyard Road, Mumbai CST Area",Mumbai,"Seafood, North Indian",250,50,3.8,90,40,45
1390,ID_5354,"Yerawada, Pune, Maharashtra",Pune,Desserts,100,50,-,-,-,30
1391,ID_5057,"MG Road, Pune",Pune,"North Indian, Street Food",200,99,3.8,582,256,45
1392,ID_2909,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,North Indian,150,50,3.3,10,5,30
1393,ID_456,Delhi University-GTB Nagar,Delhi,North Indian,150,50,3.5,304,113,45
1394,ID_6358,"Yerawada, Pune, Maharashtra",Pune,"North Indian, South Indian, Chinese",250,50,3.7,92,62,30
1395,ID_8526,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Cafe, Fast Food, Chinese",250,50,4.0,114,71,30
1396,ID_8438,"Sector 63A,Gurgaon",Gurgaon,"Fast Food, Beverages",250,99,4.4,662,410,45
1397,ID_8217,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Kerala, Chinese",150,50,3.4,11,5,30
1398,ID_8082,"Sector 1, Noida",Noida,"North Indian, Mughlai",250,50,3.5,12,9,30
1399,ID_6391,"Sector 14, Noida",Noida,"North Indian, Chinese",200,99,3.0,125,24,65
1400,ID_6619,"Sector 3, Marathalli",Bangalore,"Beverages, Rolls, Sandwich",100,50,NEW,-,-,30
1401,ID_3330,Pune University,Pune,"North Indian, Seafood, Chinese",250,50,3.1,35,7,30
1402,ID_1327,Delhi University-GTB Nagar,Delhi,"Cafe, Bakery, Fast Food",200,50,3.8,978,360,65
1403,ID_7289,"Sector 1, Noida",Noida,Bakery,150,50,3.5,59,30,30
1404,ID_4216,"Sector 14, Noida",Noida,"Pizza, Italian",200,50,3.7,27,14,30
1405,ID_7941,"D-Block, Sector 63, Noida",Noida,Rolls,150,50,3.9,20,16,30
1406,ID_2356,"FTI College, Law College Road, Pune",Pune,"Beverages, Fast Food",200,50,3.5,16,9,30
1407,ID_4055,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Biryani, North Indian, Chinese",250,50,3.4,11,4,30
1408,ID_8419,"Sector 3, Marathalli",Bangalore,Tibetan,150,50,3.1,6,2,30
1409,ID_8506,Mumbai Central,Mumbai,"Fast Food, Street Food",100,50,3.3,24,10,45
1410,ID_5615,"Sector 1, Noida",Noida,Chinese,100,50,3.3,11,1,30
1411,ID_5764,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"North Indian, Continental, Healthy Food",200,50,-,-,-,30
1412,ID_3574,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"South Indian, North Indian, Chinese",300,50,4.1,720,405,30
1413,ID_8182,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"North Indian, South Indian, Chinese",100,50,3.0,45,24,45
1414,ID_4993,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"North Indian, Fast Food",200,50,NEW,-,-,30
1415,ID_1083,"Sector 14, Noida",Noida,"North Indian, Chinese",200,50,NEW,-,-,30
1416,ID_5070,Mumbai Central,Mumbai,Fast Food,150,50,3.5,39,19,45
1417,ID_2313,"Rmz Centennial, I Gate, Whitefield",Bangalore,Biryani,200,50,2.9,125,48,30
1418,ID_467,Delhi Cantt.,Delhi,"Biryani, Beverages",150,50,NEW,-,-,30
1419,ID_3116,"Delhi Administration Flats, Timarpur",Delhi,"Mithai, Street Food, North Indian, South Indian, Bakery, Chinese, Fast Food",250,50,4.1,391,83,30
1420,ID_4167,"Rmz Centennial, I Gate, Whitefield",Bangalore,North Indian,150,50,3.8,17,12,30
1421,ID_2228,"MG Road, Pune",Pune,"Biryani, North Indian",200,50,3.8,61,33,30
1422,ID_866,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Biryani, Chinese, North Indian",300,50,3.7,171,61,30
1423,ID_84,"Sector 63A,Gurgaon",Gurgaon,"Fast Food, Chinese, North Indian",200,50,NEW,-,-,30
1424,ID_623,"Delhi Administration Flats, Timarpur",Delhi,North Indian,100,50,-,-,-,30
1425,ID_6645,"D-Block, Sector 63, Noida",Noida,North Indian,150,50,-,-,-,30
1426,ID_3198,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"Healthy Food, Sandwich, Beverages",200,50,3.8,56,19,65
1427,ID_8153,"Rmz Centennial, I Gate, Whitefield",Bangalore,"North Indian, Chinese",300,50,3.4,9,9,30
1428,ID_2051,"FTI College, Law College Road, Pune",Pune,"Italian, Continental, Chinese, Mexican, Fast Food, Street Food, Desserts",300,50,4.7,3975,2359,65
1429,ID_7307,"Sector 14, Noida",Noida,Arabian,100,50,3.5,53,19,30
1430,ID_2542,"MG Road, Pune",Pune,"Mexican, Italian, Modern Indian",200,50,3.9,90,64,65
1431,ID_4267,"Noorkhan Bazaar, Malakpet, Hyderabad",Hyderabad,"Street Food, South Indian",50,0,4.2,765,143,30
1432,ID_5097,Mumbai Central,Mumbai,"Chinese, North Indian",150,50,3.7,53,18,30
1433,ID_1569,"D-Block, Sector 63, Noida",Noida,"North Indian, Chinese",300,50,2.8,149,49,45
1434,ID_2784,Mumbai Central,Mumbai,"Fast Food, Pizza",150,50,4.1,55,34,30
1435,ID_7431,"Tejas Nagar Colony, Wadala West, Mumbai",Mumbai,South Indian,100,50,3.3,12,2,30
1436,ID_2402,Delhi University-GTB Nagar,Delhi,"Healthy Food, North Indian, Biryani, Continental, Beverages",200,50,3.4,142,42,30
1437,ID_398,"Sector 3, Marathalli",Bangalore,"Andhra, South Indian, North Indian, Biryani, Chinese, Beverages",400,99,3.8,444,199,45
1438,ID_147,"Nathan Road, Mangaldas Road, Pune",Pune,"Mughlai, North Indian, Continental, Modern Indian, Street Food",400,50,4.3,296,187,30
1439,ID_7414,Delhi University-GTB Nagar,Delhi,"North Indian, Mughlai, Chinese, Continental",150,50,3.9,43,39,30
1440,ID_178,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Kerala, Biryani",100,50,3.6,13,5,30
1441,ID_6817,"FTI College, Law College Road, Pune",Pune,"Cafe, Fast Food",150,50,2.8,14,10,30
1442,ID_3970,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Burger, Fast Food",200,50,4.0,714,220,45
1443,ID_6040,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Street Food, Maharashtrian",150,50,4.0,357,152,45
1444,ID_5610,"Delhi High Court, India Gate",Delhi,"Italian, Mexican, Continental, North Indian, Finger Food",750,50,4.1,1504,938,45
1445,ID_3717,"Tiretti, Kolkata",Kolkata,"Biryani, North Indian, Rolls",250,50,2.9,50,14,65
1446,ID_3324,"Nathan Road, Mangaldas Road, Pune",Pune,Fast Food,150,50,-,-,-,30
1447,ID_2542,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Italian, Mexican",200,50,3.9,65,44,65
1448,ID_1217,"MG Road, Pune",Pune,"Desserts, Fast Food",100,50,3.3,14,7,30
1449,ID_6337,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"North Indian, Chinese, South Indian",350,50,3.9,316,196,30
1450,ID_2312,Majestic,Bangalore,"Andhra, Biryani",150,50,3.7,71,17,30
1451,ID_4162,"Nathan Road, Mangaldas Road, Pune",Pune,"North Indian, Chinese, Street Food",250,50,3.2,16,7,45
1452,ID_4901,Majestic,Bangalore,"North Indian, Fast Food",150,50,3.0,4,1,30
1453,ID_2324,"D-Block, Sector 63, Noida",Noida,South Indian,150,50,-,-,-,30
1454,ID_7101,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Mithai, Street Food",150,50,3.7,29,11,45
1455,ID_3986,Delhi Cantt.,Delhi,"Rolls, Kebab, Mughlai, North Indian",300,50,3.5,31,14,30
1456,ID_7979,"Sector 1, Noida",Noida,Fast Food,200,50,3.6,44,11,30
1457,ID_2483,"Sector 14, Noida",Noida,"North Indian, Fast Food, Biryani, Rolls, Wraps",250,50,4.0,206,68,65
1458,ID_6430,"Delhi High Court, India Gate",Delhi,"North Indian, Chinese, Italian",400,50,3.8,233,117,45
1459,ID_3192,"Delhi High Court, India Gate",Delhi,"North Indian, Mughlai, Kebab",950,50,4.1,2340,1133,45
1460,ID_2984,"Rmz Centennial, I Gate, Whitefield",Bangalore,"Mithai, Street Food",150,50,4.0,124,39,45
1461,ID_7406,"Yerawada, Pune, Maharashtra",Pune,"North Indian, Street Food",100,50,3.4,14,10,30
1462,ID_7739,"MG Road, Pune",Pune,"Cafe, Desserts, French, Bakery, European",250,50,4.6,1502,819,30
1463,ID_133,"D-Block, Sector 63, Noida",Noida,South Indian,150,50,3.5,25,13,30
1464,ID_4217,"FTI College, Law College Road, Pune",Pune,"Salad, Continental, Italian, Mexican, Desserts, Beverages",500,50,4.4,538,314,45
1465,ID_4651,Delhi University-GTB Nagar,Delhi,Fast Food,200,50,-,-,-,30
1466,ID_906,Pune University,Pune,"North Indian, Biryani",150,50,3.5,71,14,30
1467,ID_4871,Delhi Cantt.,Delhi,"North Indian, Chinese",200,50,3.2,33,11,45
1468,ID_6011,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"North Indian, Biryani, Chinese",150,50,3.3,64,35,30
1469,ID_5532,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Biryani, North Indian",350,50,4.1,2264,1211,45
1470,ID_5716,"Delhi Administration Flats, Timarpur",Delhi,"Pizza, Fast Food",200,50,3.6,43,14,30
1471,ID_7019,"Sandhurst Road, Mumbai CST Area",Mumbai,"North Indian, Chinese, Street Food",200,50,3.6,13,3,30
1472,ID_6236,Delhi University-GTB Nagar,Delhi,"Rolls, Fast Food",150,50,3.7,373,168,65
1473,ID_1727,"Sector 63A,Gurgaon",Gurgaon,Fast Food,200,50,-,-,-,30
1474,ID_4845,"MG Road, Pune",Pune,Mithai,200,50,3.3,12,5,30
1475,ID_4869,"Sandhurst Road, Mumbai CST Area",Mumbai,"Chinese, Mughlai",150,50,3.7,59,12,45
1476,ID_3575,"Delhi High Court, India Gate",Delhi,"North Indian, Mughlai",300,50,4.3,570,224,65
1477,ID_7826,"FTI College, Law College Road, Pune",Pune,North Indian,150,50,-,-,-,30
1478,ID_7874,"D-Block, Sector 63, Noida",Noida,Pizza,300,99,3.8,45,28,45
1479,ID_7736,"Moulali, Kolkata",Kolkata,"Sandwich, Chinese, Fast Food, Beverages",150,50,3.1,7,2,30
1480,ID_8136,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,North Indian,150,50,3.0,4,-,30
1481,ID_3204,"Sector 1, Noida",Noida,Healthy Food,250,0,3.9,66,23,30
1482,ID_4654,"Dockyard Road, Mumbai CST Area",Mumbai,"Burger, Fast Food",200,50,3.5,406,111,30
1483,ID_8283,"Delhi Administration Flats, Timarpur",Delhi,"South Indian, Chinese",150,50,3.8,143,31,30
1484,ID_4105,"D-Block, Sector 63, Noida",Noida,"North Indian, Biryani, Rolls",200,50,3.6,54,27,30
1485,ID_6077,"Sector 63A,Gurgaon",Gurgaon,"Chinese, South Indian, Fast Food, North Indian",200,99,3.6,56,8,30
1486,ID_1867,"Sector 1, Noida",Noida,"North Indian, Chinese, Mughlai",300,50,3.6,179,95,45
1487,ID_4766,"Sector 1, Noida",Noida,"Mithai, North Indian, South Indian, Street Food, Chinese",150,99,3.9,206,55,45
1488,ID_372,"Delhi Administration Flats, Timarpur",Delhi,North Indian,100,50,3.3,12,1,30
1489,ID_14,"Delhi High Court, India Gate",Delhi,Pizza,200,50,3.2,7,-,30
1490,ID_7453,Delhi Cantt.,Delhi,"Beverages, Fast Food",100,50,3.3,7,5,30
1491,ID_7184,"Sandhurst Road, Mumbai CST Area",Mumbai,"Fast Food, Healthy Food, Sandwich, Salad",200,50,3.1,254,91,30
1492,ID_247,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"North Indian, Chinese",100,50,3.5,20,11,30
1493,ID_7218,Delhi Cantt.,Delhi,"North Indian, Mughlai, Chinese, Momos",200,50,3.6,26,21,30
1494,ID_1056,"Raja Bazar, Kolkata",Kolkata,"Fast Food, Street Food, North Indian",150,50,3.9,251,105,65
1495,ID_3116,"Sector 14, Noida",Noida,"Mithai, North Indian, Fast Food, Desserts, South Indian, Street Food, Bakery, Chinese",250,50,3.1,6,6,30
1496,ID_4071,"Delhi Administration Flats, Timarpur",Delhi,"Fast Food, Chinese, North Indian",150,50,3.2,9,1,30
1497,ID_6640,Delhi University-GTB Nagar,Delhi,"Chinese, North Indian",200,50,3.7,95,51,30
1498,ID_3482,Delhi University-GTB Nagar,Delhi,Fast Food,100,50,3.2,16,4,30
1499,ID_3865,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Asian, Continental, European",350,99,3.8,41,17,45
1500,ID_774,Mumbai Central,Mumbai,"North Indian, Mughlai, Chinese",200,50,3.7,277,143,45
1501,ID_7924,"Sector 14, Noida",Noida,"North Indian, Chinese, Kebab, Mughlai",800,50,4.7,1112,972,45
1502,ID_2438,Mumbai Central,Mumbai,"Cafe, Desserts, Sandwich",350,50,4.0,773,426,65
1503,ID_7980,"Nathan Road, Mangaldas Road, Pune",Pune,"Continental, North Indian, Italian",750,50,4.0,297,205,30
1504,ID_8473,"Sandhurst Road, Mumbai CST Area",Mumbai,"Chinese, Asian, Momos",150,99,3.7,429,257,45
1505,ID_1339,"Nathan Road, Mangaldas Road, Pune",Pune,"Bakery, Desserts",250,0,4.4,557,358,45
1506,ID_1052,"MG Road, Pune",Pune,"North Indian, Sandwich",200,50,3.4,15,2,30
1507,ID_2371,"Moulali, Kolkata",Kolkata,North Indian,200,50,3.3,98,21,65
1508,ID_5769,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,South Indian,100,50,4.2,726,110,45
1509,ID_5885,Delhi University-GTB Nagar,Delhi,North Indian,150,50,3.5,-,-,30
1510,ID_1893,"Chandni Chowk, Kolkata",Kolkata,"Desserts, Bakery, Fast Food",100,50,3.5,73,14,45
1511,ID_3846,"Yerawada, Pune, Maharashtra",Pune,"Biryani, North Indian, Rolls, Kashmiri, Mughlai",300,50,3.9,195,117,45
1512,ID_6468,"Sector 1, Noida",Noida,"Sandwich, Fast Food, Beverages, Mexican, Desserts",200,50,3.9,864,362,65
1513,ID_2005,"Sector 1, Noida",Noida,Paan,50,50,3.6,36,2,30
1514,ID_3179,"Moulali, Kolkata",Kolkata,"Fast Food, North Indian, Mishti",100,50,4.1,272,55,45
1515,ID_6577,"Hyderabad Public School, Begumpet",Hyderabad,"South Indian, North Indian, Biryani",400,50,3.9,157,68,30
1516,ID_3787,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,North Indian,100,50,NEW,-,-,30
1517,ID_3165,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,North Indian,200,99,3.8,146,31,45
1518,ID_7887,"Sector 63A,Gurgaon",Gurgaon,"North Indian, Chinese, Continental, Italian",100,50,NEW,-,-,30
1519,ID_1328,"Sector 1, Noida",Noida,Bakery,150,50,NEW,-,-,30
1520,ID_8569,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Cafe, Healthy Food, Salad, Beverages",300,99,4.0,80,47,45
1521,ID_5170,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Mangalorean, Chinese, North Indian",300,50,3.2,6,1,30
1522,ID_6340,"Sector 63A,Gurgaon",Gurgaon,"North Indian, Fast Food",400,50,4.2,68,56,30
1523,ID_1463,"Delhi Administration Flats, Timarpur",Delhi,North Indian,100,50,3.7,266,85,65
1524,ID_1793,Delhi Cantt.,Delhi,North Indian,200,50,-,-,-,30
1525,ID_5976,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"Chinese, North Indian",100,50,3.2,8,-,30
1526,ID_6858,"Sector 14, Noida",Noida,"Bakery, Desserts",200,50,3.7,39,25,30
1527,ID_7872,Delhi University-GTB Nagar,Delhi,"Mughlai, North Indian",300,50,3.6,30,12,30
1528,ID_1488,"Sector 3, Marathalli",Bangalore,"Cafe, Fast Food, Beverages",150,50,-,-,-,30
1529,ID_5296,"MG Road, Pune",Pune,"North Indian, Lucknowi",250,50,3.5,28,11,30
1530,ID_1602,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,North Indian,200,50,-,-,-,30
1531,ID_6652,"Sector 3, Marathalli",Bangalore,"Biryani, North Indian, Andhra, Chinese",350,50,4.1,2319,892,45
1532,ID_6361,"Sector 1, Noida",Noida,North Indian,100,50,NEW,-,-,45
1533,ID_7514,"Tiretti, Kolkata",Kolkata,"Rolls, Sandwich, Fast Food",150,50,3.7,304,127,65
1534,ID_5524,"D-Block, Sector 63, Noida",Noida,North Indian,200,99,3.5,47,9,30
1535,ID_2088,"Sector 3, Marathalli",Bangalore,"South Indian, North Indian",300,50,3.6,34,7,30
1536,ID_5218,"Rmz Centennial, I Gate, Whitefield",Bangalore,"South Indian, North Indian, Chinese",150,50,3.5,11,5,30
1537,ID_4020,Mumbai Central,Mumbai,Healthy Food,200,50,3.1,8,6,30
1538,ID_7067,"Musi Nagar, Malakpet, Hyderabad",Hyderabad,South Indian,100,50,3.5,237,2,45
1539,ID_7672,"D-Block, Sector 63, Noida",Noida,"North Indian, Chinese, Continental",800,99,4.0,365,208,45
1540,ID_6394,"Hyderabad Public School, Begumpet",Hyderabad,South Indian,100,50,3.8,203,67,30
1541,ID_3691,"Raja Bazar, Kolkata",Kolkata,North Indian,100,50,3.3,27,5,30
1542,ID_2074,Pune University,Pune,"North Indian, Biryani, Mughlai",150,50,3.3,14,2,30
1543,ID_3957,"Delhi High Court, India Gate",Delhi,"Burger, Fast Food",200,50,4.0,1233,581,65
1544,ID_1804,"Delhi High Court, India Gate",Delhi,"European, Mediterranean",850,50,4.1,1261,652,30
1545,ID_505,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"Chinese, North Indian",300,99,3.5,106,43,45
1546,ID_3329,"Nathan Road, Mangaldas Road, Pune",Pune,"North Indian, Chinese",200,99,3.0,8,4,30
1547,ID_1238,"Sandhurst Road, Mumbai CST Area",Mumbai,Fast Food,150,50,3.3,12,6,30
1548,ID_7322,"MG Road, Pune",Pune,"North Indian, Street Food, Fast Food, Chinese",200,50,3.1,4,1,45
1549,ID_4718,Delhi Cantt.,Delhi,"North Indian, Mughlai",350,50,2.5,27,10,45
1550,ID_3672,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"North Indian, Fast Food",100,50,4.3,55,29,30
1551,ID_2335,Delhi Cantt.,Delhi,"South Indian, Chinese",150,50,3.7,87,23,65
1552,ID_5377,"Nathan Road, Mangaldas Road, Pune",Pune,South Indian,100,50,3.4,14,4,30
1553,ID_2416,"D-Block, Sector 63, Noida",Noida,"North Indian, South Indian",150,50,-,-,-,30
1554,ID_5129,"Raja Bazar, Kolkata",Kolkata,Mishti,50,50,3.7,109,24,65
1555,ID_1737,"Sector 1, Noida",Noida,"North Indian, Chinese",200,50,3.1,-,-,30
1556,ID_6592,Delhi Cantt.,Delhi,"Chinese, Thai, Tibetan, Japanese, Momos",350,50,NEW,-,-,30
1557,ID_4488,"Mico Layout, Stage 2, BTM Layout,Bangalore",Bangalore,"Fast Food, Chinese, Mughlai, Rolls",200,50,3.9,208,86,45
1558,ID_6549,Mumbai Central,Mumbai,Rolls,100,50,3.9,171,56,30
1559,ID_6027,"MG Road, Pune",Pune,"Italian, Street Food",250,50,3.3,107,43,45
1560,ID_1341,"D-Block, Sector 63, Noida",Noida,Bakery,150,50,3.2,8,3,30
1561,ID_8443,"Raja Bazar, Kolkata",Kolkata,"Biryani, North Indian",100,50,-,-,-,45
1562,ID_4299,"Sandhurst Road, Mumbai CST Area",Mumbai,Bakery,200,50,3.0,4,1,30
1563,ID_3682,Mumbai Central,Mumbai,Desserts,100,50,3.9,73,46,30
1564,ID_229,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Gurgaon,"Mithai, Fast Food, South Indian",100,50,3.4,11,4,30
1565,ID_3742,"Sector 63A,Gurgaon",Gurgaon,North Indian,500,50,4.4,272,172,30
1566,ID_6143,"MG Road, Pune",Pune,North Indian,100,50,Opening Soon,-,-,30
1567,ID_996,"Dockyard Road, Mumbai CST Area",Mumbai,Desserts,50,50,-,-,-,45
1568,ID_7325,"Dockyard Road, Mumbai CST Area",Mumbai,"Desserts, Ice Cream",100,50,4.4,406,241,45
1569,ID_1640,Delhi University-GTB Nagar,Delhi,North Indian,250,99,3.5,36,8,65
1570,ID_13,"MG Road, Pune",Pune,"Continental, North Indian, Seafood, Cafe, Salad, Chinese",650,50,4.1,3860,1962,45
